,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vila Velha,BR,300.12,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
8,Butaritari,KI,300.91,clear sky,3.0707,172.7902,Isles Sunset Lodge
14,Hithadhoo,MV,301.5,few clouds,-0.6,73.0833,Scoop Guest House
21,Isangel,VU,301.21,broken clouds,-19.55,169.2667,Tanna Lodge
31,Jatibarang,ID,302.99,clear sky,-6.4747,108.3153,Adi Sederhana Hotel
39,Kapaa,US,303.14,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,San Nicolas,PH,301.1,few clouds,18.1725,120.5953,NORTHVIEW Hotel
47,Kirakira,SB,302.78,few clouds,-10.4544,161.9205,SanBiz Lodge
53,Cabo San Lucas,MX,302.38,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
59,Eydhafushi,MV,301.23,broken clouds,5.1033,73.0708,Soneva Fushi
75,Aquiraz,BR,300.47,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
76,Roebourne,AU,304.76,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
79,Tubuala,PA,301.11,overcast clouds,9.5167,-79.0333,Río Nabagana
81,Biltine,TD,300.89,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
85,Lakatoro,VU,301.04,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
99,Bathsheba,BB,301.49,broken clouds,13.2167,-59.5167,Atlantis Hotel
106,Abu Zabad,SD,302.85,overcast clouds,12.35,29.25,حامد محمد نور
107,Kavaratti,IN,300.56,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
113,Coahuayana,MX,300.86,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
120,Kahului,US,301.47,broken clouds,20.8947,-156.47,Maui Seaside Hotel
127,Biak,ID,301.96,scattered clouds,-0.9131,122.8766,Penginapan Kim
128,Dingle,PH,301.19,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
131,Namatanai,PG,303.12,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
135,Kavieng,PG,302.48,light rain,-2.5744,150.7967,Nusa Island Retreat
169,Santa Maria Da Boa Vista,BR,302.48,few clouds,-8.8078,-39.8256,Fênix Hotel e Restaurante
171,Emerald,AU,305.56,overcast clouds,-23.5333,148.1667,The Irish Village
180,Bilma,NE,300.86,clear sky,18.6853,12.9164,Expeditions Ténére voyages
183,Cairns,AU,305.9,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
185,Brownsville,US,301.21,overcast clouds,25.9018,-97.4975,University Inn & Suites
189,Bokoro,TD,303.09,broken clouds,12.3807,17.0568,
205,Kailua,US,300.82,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
206,Nabire,ID,300.76,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
209,Manggar,ID,301.88,scattered clouds,-2.8833,108.2667,Guest Hotel
213,Green Valley,US,301.64,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
214,Morant Bay,JM,301.94,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
221,Port Blair,IN,300.47,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
223,Labuhan,ID,302.04,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
