,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,273.96,80,75,12.86,light snow
1,Vila Velha,BR,-20.3297,-40.2925,300.12,78,40,5.14,scattered clouds
2,Coquimbo,CL,-29.9533,-71.3436,287.0,88,0,2.06,clear sky
3,Hobart,AU,-42.8794,147.3294,286.51,74,75,2.24,light intensity drizzle
4,Jackson,US,42.4165,-122.8345,284.26,82,100,0.89,overcast clouds
5,Barrow,US,71.2906,-156.7887,268.69,86,100,3.45,overcast clouds
6,Albany,US,42.6001,-73.9662,284.15,84,96,0.93,overcast clouds
7,Kodiak,US,57.79,-152.4072,279.49,85,57,3.23,broken clouds
8,Butaritari,KI,3.0707,172.7902,300.91,72,1,1.61,clear sky
9,Chulman,RU,56.8479,124.9104,269.96,86,100,1.57,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,278.21,56,75,7.72,broken clouds
11,Souillac,MU,-20.5167,57.5167,296.68,78,40,5.14,scattered clouds
12,College,US,64.8569,-147.8028,270.49,91,90,0.0,mist
13,Bluff,NZ,-46.6,168.3333,287.44,81,99,5.33,light rain
14,Hithadhoo,MV,-0.6,73.0833,301.5,69,21,7.0,few clouds
15,Geraldton,AU,-28.7667,114.6,293.38,64,90,5.66,overcast clouds
16,Lebu,CL,-37.6167,-73.65,284.19,95,50,1.85,scattered clouds
17,Kubrat,BG,43.8,26.5,278.08,70,6,3.14,clear sky
18,Barcs,HU,45.96,17.4586,277.72,76,0,2.29,clear sky
19,Sokoni,TZ,-6.4333,39.55,298.82,76,23,3.02,few clouds
20,Airai,TL,-8.9266,125.4092,297.63,44,98,0.74,overcast clouds
21,Isangel,VU,-19.55,169.2667,301.21,69,75,2.57,broken clouds
22,Vaini,TO,-21.2,-175.2,299.24,78,20,6.17,few clouds
23,Port Elizabeth,ZA,-33.918,25.5701,283.2,93,0,1.54,clear sky
24,Rikitea,PF,-23.1203,-134.9692,296.92,76,25,7.78,scattered clouds
25,Kaitangata,NZ,-46.2817,169.8464,288.93,71,100,3.52,overcast clouds
26,Namibe,AO,-15.1961,12.1522,290.13,86,8,3.7,clear sky
27,Mount Gambier,AU,-37.8333,140.7667,286.1,62,90,4.12,overcast clouds
28,Mataura,NZ,-46.1927,168.8643,294.68,52,100,2.17,moderate rain
29,Arlit,NE,18.7369,7.3853,299.68,13,0,0.87,clear sky
30,Katsuura,JP,35.1333,140.3,291.03,55,39,5.43,scattered clouds
31,Jatibarang,ID,-6.4747,108.3153,302.99,61,7,1.83,clear sky
32,Natal,BR,-5.795,-35.2094,299.51,83,20,3.6,few clouds
33,Zamora,EC,-4.0692,-78.9567,293.32,98,91,1.51,light rain
34,Cedar City,US,37.6775,-113.0619,286.15,45,73,4.15,broken clouds
35,Verkhoyansk,RU,67.5447,133.385,257.82,98,100,0.44,overcast clouds
36,Avarua,CK,-21.2078,-159.775,298.18,53,20,5.66,few clouds
37,Iqaluit,CA,63.7506,-68.5145,272.0,86,90,2.68,light snow
38,Hermanus,ZA,-34.4187,19.2345,285.32,77,0,4.26,clear sky
39,Kapaa,US,22.0752,-159.319,303.14,78,75,3.13,broken clouds
40,Jamestown,US,42.097,-79.2353,283.87,99,90,0.89,light rain
41,Pacific Grove,US,36.6177,-121.9166,292.91,84,90,1.34,overcast clouds
42,Muhororo,UG,0.9381,30.7594,288.58,95,77,0.78,broken clouds
43,Terekli-Mekteb,RU,44.1671,45.8698,285.47,71,100,4.33,overcast clouds
44,San Nicolas,PH,18.1725,120.5953,301.1,74,20,1.54,few clouds
